participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
2,7,5.0,4.750416666666666,16.679553995602788,431
2,10,3.0,10.723125,16.656937320808776,450
2,11,7.0,11.660833333333333,16.75081730882925,424
2,15,9.0,9.969166666666666,16.491540067697866,418
2,20,4.0,10.074791666666668,16.443646205475595,399
2,21,2.0,7.792291666666666,16.195668872951675,417
2,22,8.0,11.505208333333334,16.841049630220116,446
2,23,9.0,9.338333333333333,16.837758257666017,398
2,24,7.0,12.735625,17.07114241612649,437
2,26,2.0,8.471874999999999,16.675672071924172,450
2,29,6.0,9.504375,16.826548781733983,349
2,30,8.0,10.095416666666667,17.007610190438402,357
2,33,4.0,11.348958333333334,16.983171347447172,404
2,34,4.0,10.149166666666666,16.944302448978767,426
2,35,7.0,12.874583333333334,16.8584348289543,438
2,36,7.0,9.927291666666667,16.56150605782344,451
2,38,2.0,9.84125,16.52057938732061,297
2,39,9.0,2.6820833333333334,16.718016341994065,408
2,40,4.0,8.79875,16.271473157848956,416
2,52,8.0,11.980208333333334,16.86469855882046,326
2,61,9.0,8.975416666666666,16.516884931152735,441
2,67,6.0,8.201666666666666,16.831176353207074,442
2,69,3.0,8.407499999999999,16.59223933292022,441
2,72,7.0,6.705,16.441044671402892,451
2,77,3.0,1.6508333333333334,16.487479606084143,451
2,86,5.0,6.253125,16.388005695433748,451
2,87,8.0,7.395625,16.69907246357062,429
2,89,7.0,13.040625,17.147974770099893,389
2,90,7.0,10.875,16.73499435018843,430
2,91,8.0,6.355416666666666,16.450795544419766,421
2,93,4.0,11.789583333333335,16.991787209384764,450
2,97,2.0,12.339791666666667,16.71430121357797,440
2,99,4.0,10.290416666666667,16.622648286480903,441
2,100,2.0,6.973541666666666,16.63148040314368,440
2,102,7.0,7.390833333333334,16.56338827392866,450
2,103,5.0,12.324791666666666,16.817130854613353,441
2,108,4.0,9.317083333333333,16.50868510546963,450
2,110,7.0,4.50125,16.383540605869822,450
2,111,2.0,8.304583333333333,16.761631725750284,386
2,117,6.0,6.384791666666667,16.530478269802185,439
2,118,6.0,6.671666666666666,15.965998888275134,430
2,124,8.0,12.626666666666667,16.673588448844665,385
2,127,6.0,7.963333333333333,16.24373054100805,434
2,130,6.0,5.737291666666667,16.13031959271258,450
2,132,6.0,2.9622916666666663,16.175263948985567,444
2,138,5.0,8.646458333333333,16.382670783757057,451
2,145,4.0,7.881875000000001,16.699333162058945,441
2,147,4.0,10.995833333333334,16.632626280280807,451
3,5,4.0,5.528124999999999,16.704035502915918,413
3,7,7.0,4.76125,16.35727700071347,451
3,12,3.0,4.174791666666667,16.28635905989149,449
3,13,4.0,8.517916666666666,16.67978860335813,451
3,14,5.0,10.417916666666667,17.079538035477768,435
3,17,6.0,14.109166666666667,17.218880209383197,450
3,26,4.0,16.080625,17.296095945525686,450
3,28,5.0,8.860624999999999,16.546816808496054,451
3,29,5.0,5.098541666666667,16.553076100813854,450
3,31,7.0,6.746666666666666,16.57396117829019,444
3,34,7.0,6.230625,16.657339270725238,430
3,35,7.0,12.837499999999999,16.91724375881686,450
3,38,5.0,10.974583333333333,16.796869805230468,451
3,40,4.0,9.127291666666666,16.691793881507756,450
3,43,4.0,14.521666666666667,17.071069934234995,438
3,45,6.0,9.257708333333333,16.824666469271357,423
3,54,4.0,9.813541666666667,16.743386241107046,450
3,58,6.0,13.933124999999999,17.00101347284639,413
3,60,3.0,16.988958333333333,17.08573490503,446
3,61,9.0,8.351666666666667,16.426544440852187,451
3,73,6.0,7.778333333333333,16.86812186858861,451
3,75,4.0,3.7435416666666663,16.782434082739506,450
3,76,4.0,5.076041666666667,16.47342721819739,450
3,81,6.0,6.421041666666667,16.616045628080432,445
3,84,5.0,12.23,17.076313552972973,423
3,85,5.0,5.726041666666667,16.638088217338645,450
3,91,5.0,11.380625,16.894010483939443,431
3,92,5.0,5.549791666666667,16.200376271591207,411
3,94,6.0,13.4375,17.16299477477364,451
3,95,6.0,7.188541666666666,16.63890348357073,722
3,96,4.0,10.099374999999998,16.460370046855445,468
3,99,5.0,6.428125,16.58407793500667,435
3,103,5.0,7.716666666666666,16.670418135730884,412
